Description,Line
Utilities expense,25
Interest expense,16
Business travel expenses,24
Online advertising campaign,8
Business rent payment,20
Online advertising campaign,8
Software subscription,18
Client meal,24
Business rent payment,20
Business travel expenses,24
Office supplies purchase,22
Office supplies purchase,22
Cloud hosting services,25
Client meal,24
Interest expense,16
Online advertising campaign,8
Business license fees,23
Business license fees,23
Business rent payment,20
Equipment repairs,21
Employee health insurance,14
Employee health insurance,14
Employee health insurance,14
Business travel expenses,24
Software subscription,18
Business rent payment,20
Cloud hosting services,25
Business rent payment,20
Utilities expense,25
Cloud hosting services,25
Utilities expense,25
Client meal,24
Software subscription,18
Shipping and postage,27
Equipment repairs,21
Employee health insurance,14
Utilities expense,25
Business travel expenses,24
Shipping and postage,27
Shipping and postage,27
Business rent payment,20
Business rent payment,20
Office supplies purchase,22
Business travel expenses,24
Software subscription,18
Interest expense,16
Employee health insurance,14
Shipping and postage,27
Online advertising campaign,8
Equipment repairs,21
Employee health insurance,14
Cloud hosting services,25
Software subscription,18
Business travel expenses,24
Office supplies purchase,22
Contract labor services,11
Shipping and postage,27
Cloud hosting services,25
Employee health insurance,14
Contract labor services,11
Cloud hosting services,25
Software subscription,18
Shipping and postage,27
Business travel expenses,24
Software subscription,18
Business travel expenses,24
Shipping and postage,27
Business rent payment,20
Utilities expense,25
Business travel expenses,24
Business travel expenses,24
Interest expense,16
Client meal,24
Business rent payment,20
Business travel expenses,24
Interest expense,16
Shipping and postage,27
Equipment repairs,21
Cloud hosting services,25
Interest expense,16
Equipment repairs,21
Office supplies purchase,22
Client meal,24
Business rent payment,20
Office supplies purchase,22
Online advertising campaign,8
Shipping and postage,27
Office supplies purchase,22
Client meal,24
Office supplies purchase,22
Business license fees,23
Business rent payment,20
Cloud hosting services,25
Business travel expenses,24
Utilities expense,25
Cloud hosting services,25
Business rent payment,20
Utilities expense,25
Equipment repairs,21
Equipment repairs,21
Software subscription,18
Client meal,24
Employee health insurance,14
Equipment repairs,21
Shipping and postage,27
Business rent payment,20
Utilities expense,25
Software subscription,18
Equipment repairs,21
Utilities expense,25
Utilities expense,25
Business license fees,23
Online advertising campaign,8
Client meal,24
Software subscription,18
Online advertising campaign,8
Business license fees,23
Business travel expenses,24
Online advertising campaign,8
Cloud hosting services,25
Business license fees,23
Utilities expense,25
Software subscription,18
Utilities expense,25
Shipping and postage,27
Shipping and postage,27
Business rent payment,20
Utilities expense,25
Interest expense,16
Software subscription,18
Shipping and postage,27
Software subscription,18
Contract labor services,11
Employee health insurance,14
Office supplies purchase,22
Shipping and postage,27
Online advertising campaign,8
Online advertising campaign,8
Software subscription,18
Employee health insurance,14
Business license fees,23
Contract labor services,11
Office supplies purchase,22
Software subscription,18
Equipment repairs,21
Business travel expenses,24
Business rent payment,20
Business license fees,23
Software subscription,18
Utilities expense,25
Cloud hosting services,25
Business travel expenses,24
Cloud hosting services,25
Business travel expenses,24
Cloud hosting services,25
Software subscription,18
Software subscription,18
Online advertising campaign,8
Client meal,24
Client meal,24
Business license fees,23
Shipping and postage,27
Employee health insurance,14
Cloud hosting services,25
Office supplies purchase,22
Employee health insurance,14
Client meal,24
Client meal,24
Interest expense,16
Employee health insurance,14
Online advertising campaign,8
Business license fees,23
Employee health insurance,14
Shipping and postage,27
Business travel expenses,24
Cloud hosting services,25
Online advertising campaign,8
Utilities expense,25
Business travel expenses,24
Online advertising campaign,8
Cloud hosting services,25
Utilities expense,25
Employee health insurance,14
Business license fees,23
Business rent payment,20
Utilities expense,25
Contract labor services,11
Office supplies purchase,22
Contract labor services,11
Business travel expenses,24
Cloud hosting services,25
Business license fees,23
Business rent payment,20
Employee health insurance,14
Utilities expense,25
Business license fees,23
Software subscription,18
Business travel expenses,24
Equipment repairs,21
Office supplies purchase,22
Shipping and postage,27
Business travel expenses,24
Utilities expense,25
Business license fees,23
Cloud hosting services,25
Equipment repairs,21
Contract labor services,11
Client meal,24
Business license fees,23
Business license fees,23
Software subscription,18
Business license fees,23
Shipping and postage,27
Business license fees,23
Client meal,24
Online advertising campaign,8
Online advertising campaign,8
Equipment repairs,21
Utilities expense,25
Utilities expense,25
Interest expense,16
Utilities expense,25
Software subscription,18
Interest expense,16
Shipping and postage,27
Business license fees,23
Cloud hosting services,25
Software subscription,18
Business rent payment,20
Contract labor services,11
Online advertising campaign,8
Business travel expenses,24
Utilities expense,25
Equipment repairs,21
Business license fees,23
Business license fees,23
Business travel expenses,24
Shipping and postage,27
Business travel expenses,24
Business rent payment,20
Utilities expense,25
Office supplies purchase,22
Interest expense,16
Cloud hosting services,25
Interest expense,16
Business rent payment,20
Business travel expenses,24
Client meal,24
Equipment repairs,21
Employee health insurance,14
